agent_id,n_preferences,n_evaluated_preferences,accuracy,baseline_accuracy
14572,9,9,0.5555555555555556,0.5555555555555556
14576,9,9,0.5555555555555556,0.5555555555555556
14619,9,9,0.8888888888888888,0.5555555555555556
14642,9,9,0.6666666666666666,0.5555555555555556
14700,9,9,0.7777777777777778,0.5555555555555556
14723,9,9,0.1111111111111111,0.5555555555555556
14727,9,9,1.0,0.5555555555555556
14728,9,9,0.7777777777777778,0.7777777777777778
14735,9,9,0.8888888888888888,0.6666666666666666
14742,9,9,0.6666666666666666,0.5555555555555556
14751,9,9,0.2222222222222222,0.6666666666666666
14754,9,9,0.4444444444444444,0.5555555555555556
14785,9,9,0.8888888888888888,0.6666666666666666
14787,9,9,0.2222222222222222,0.6666666666666666
14802,9,9,0.5555555555555556,0.6666666666666666
14817,9,9,0.4444444444444444,0.5555555555555556
14823,9,9,0.4444444444444444,0.5555555555555556
14831,9,9,0.7777777777777778,0.6666666666666666
14845,9,9,0.7777777777777778,0.5555555555555556
14951,9,9,0.8888888888888888,0.5555555555555556
14967,9,9,0.0,0.5555555555555556
14992,9,9,0.6666666666666666,0.5555555555555556
15009,9,9,0.7777777777777778,0.7777777777777778
15012,9,9,0.7777777777777778,0.6666666666666666
15030,9,9,1.0,0.6666666666666666
15039,9,9,0.7777777777777778,0.6666666666666666
15056,9,9,0.0,0.6666666666666666
15147,9,9,0.6666666666666666,0.5555555555555556
15174,9,9,0.4444444444444444,0.7777777777777778
15180,9,9,0.8888888888888888,0.5555555555555556
15213,9,9,0.5555555555555556,0.6666666666666666
15246,9,9,0.3333333333333333,0.5555555555555556
15266,9,9,0.7777777777777778,0.6666666666666666
15296,9,9,0.4444444444444444,0.6666666666666666
15312,9,9,0.3333333333333333,0.7777777777777778
15318,9,9,0.8888888888888888,0.5555555555555556
15319,9,9,0.7777777777777778,0.5555555555555556
15373,9,9,0.6666666666666666,0.7777777777777778
15402,9,9,0.7777777777777778,0.5555555555555556
15408,9,9,1.0,0.6666666666666666
15420,9,9,0.7777777777777778,0.7777777777777778
15481,9,9,0.8888888888888888,0.5555555555555556
15489,9,9,0.6666666666666666,0.6666666666666666
15562,9,9,0.8888888888888888,0.6666666666666666
15563,9,9,1.0,0.6666666666666666
15572,9,9,0.4444444444444444,0.6666666666666666
15597,9,9,0.4444444444444444,0.5555555555555556
15603,9,9,0.5555555555555556,0.5555555555555556
15662,9,9,0.6666666666666666,0.6666666666666666
15704,9,9,0.7777777777777778,0.5555555555555556
15707,9,9,0.7777777777777778,0.5555555555555556
15780,9,9,0.0,0.5555555555555556
15792,9,9,1.0,0.6666666666666666
15805,9,9,0.5555555555555556,0.6666666666666666
15814,9,9,0.7777777777777778,0.5555555555555556
15827,9,9,0.5555555555555556,0.5555555555555556
15904,9,9,0.8888888888888888,0.5555555555555556
15948,9,9,1.0,0.5555555555555556
15970,9,9,0.4444444444444444,0.5555555555555556
15978,9,9,0.7777777777777778,0.6666666666666666
15982,9,9,0.5555555555555556,0.6666666666666666
16020,9,9,0.7777777777777778,0.5555555555555556
16060,9,9,0.6666666666666666,0.5555555555555556
16090,9,9,0.8888888888888888,0.6666666666666666
16101,9,9,0.3333333333333333,0.5555555555555556
16102,9,9,0.4444444444444444,0.6666666666666666
16106,9,8,0.625,0.8888888888888888
16116,9,9,0.8888888888888888,0.5555555555555556
16117,9,9,0.4444444444444444,0.5555555555555556
16169,9,9,0.7777777777777778,0.7777777777777778
16176,9,9,0.5555555555555556,0.7777777777777778
16178,9,9,0.0,0.5555555555555556
16184,9,8,0.75,0.8888888888888888
16188,9,9,0.8888888888888888,0.7777777777777778
16195,9,8,0.875,0.8888888888888888
16204,9,9,0.7777777777777778,0.5555555555555556
16298,9,8,0.5,0.8888888888888888
16448,9,9,1.0,0.5555555555555556
16454,9,9,1.0,0.5555555555555556
16461,9,9,0.5555555555555556,0.6666666666666666
16480,9,8,1.0,0.8888888888888888
16489,9,9,0.3333333333333333,0.5555555555555556
16493,9,9,0.8888888888888888,0.7777777777777778
16497,9,9,0.8888888888888888,0.5555555555555556
16569,9,9,0.7777777777777778,0.6666666666666666
16590,9,9,0.5555555555555556,0.6666666666666666
16617,9,9,0.0,0.6666666666666666
16684,9,9,1.0,0.6666666666666666
16690,9,9,0.5555555555555556,0.5555555555555556
16863,9,9,0.1111111111111111,0.6666666666666666
16907,9,9,0.8888888888888888,0.7777777777777778
16926,9,9,0.7777777777777778,0.6666666666666666
16927,9,9,0.6666666666666666,0.5555555555555556
16929,9,9,0.6666666666666666,0.5555555555555556
16930,9,9,0.8888888888888888,0.7777777777777778
16971,9,9,0.5555555555555556,0.5555555555555556
16989,9,9,0.6666666666666666,0.7777777777777778
17037,9,9,0.6666666666666666,0.5555555555555556
17107,9,9,0.7777777777777778,0.5555555555555556
17159,9,9,0.8888888888888888,0.5555555555555556
17169,9,9,0.5555555555555556,0.7777777777777778
17177,9,9,0.7777777777777778,0.7777777777777778
17187,9,9,0.0,0.6666666666666666
17190,9,9,0.7777777777777778,0.5555555555555556
17230,9,9,0.7777777777777778,0.6666666666666666
