agent_id,w_v1,w_v2,w_v3,n_preferences,cluster_kmeans,cluster_hierarchical,cluster_gmm
15012,0.301890287536056,0.0,0.6981097124639439,9,2,2,2
15030,0.0,1.0,0.0,9,0,0,0
15039,0.0,0.233548990613005,0.766451009386995,9,2,2,0
15056,0.7939070179523253,0.2060929820476747,0.0,9,1,1,1
15147,0.0,0.0579780618077121,0.942021938192288,9,2,2,0
15174,1.0,0.0,0.0,9,1,1,2
15180,0.0,0.0698574140796286,0.9301425859203712,9,2,2,0
15213,0.4609171785893125,0.0,0.5390828214106874,9,1,1,2
15246,0.0,0.486970299525063,0.513029700474937,9,0,0,0
15266,0.2512794977918408,0.0,0.7487205022081592,9,2,2,2
15296,0.0731854139504795,0.0498876273276659,0.8769269587218544,9,2,2,1
15312,0.0,1.0,0.0,9,0,0,0
15318,0.0,0.0772597248057845,0.9227402751942154,9,2,2,0
15319,0.0,0.0627722148264429,0.9372277851735572,9,2,2,0
15373,0.0,1.0,0.0,9,0,0,0
15402,0.0,0.0641699475659885,0.9358300524340116,9,2,2,0
15408,0.1894657341793707,0.0,0.8105342658206293,9,2,2,2
15420,0.649397309294759,0.0,0.3506026907052409,9,1,1,2
15481,0.00214280848191,0.0334451159184743,0.9644120755996156,9,2,2,1
15489,0.3560098132026407,0.0,0.6439901867973592,9,2,2,2
15562,0.1384104425617767,0.0,0.8615895574382232,9,2,2,2
15563,0.2550654008617757,0.0,0.7449345991382242,9,2,2,2
15572,0.5336803360059719,0.0,0.4663196639940281,9,1,1,2
15597,0.1650897972066027,0.0113324809264205,0.8235777218669768,9,2,2,1
15603,1.0,0.0,0.0,9,1,1,2
15662,0.0,0.0920973825820945,0.9079026174179056,9,2,2,0
15704,1.0,0.0,0.0,9,1,1,2
15707,0.8853998097469133,0.0,0.1146001902530867,9,1,1,2
15780,0.1780787881932412,0.8219212118067588,0.0,9,0,0,1
15792,0.0,0.0443061879162276,0.9556938120837724,9,2,2,0
15805,0.1926969841643142,0.0,0.8073030158356859,9,2,2,2
15814,0.0,0.8816678145254824,0.1183321854745176,9,0,0,0
15827,1.0,0.0,0.0,9,1,1,2
15904,0.0,0.0665598351807756,0.9334401648192244,9,2,2,0
15948,0.1450799305759559,0.0,0.8549200694240442,9,2,2,2
15970,0.555670098561929,0.0552306014861211,0.3890992999519498,9,1,1,1
15978,0.4877316235291423,0.0,0.5122683764708577,9,1,1,2
15982,0.0,1.0,0.0,9,0,0,0
16020,0.0121901769369254,0.0,0.9878098230630744,9,2,2,2
16060,0.0,0.122822300535573,0.877177699464427,9,2,2,0
16090,0.0,0.0967555650046069,0.9032444349953932,9,2,2,0
16101,0.0,0.7121180402997043,0.2878819597002957,9,0,0,0
16102,0.0,0.035650533398793,0.9643494666012068,9,2,2,0
16106,0.0,0.1933957368689573,0.8066042631310427,9,2,2,0
16116,0.0852111774546946,0.0,0.9147888225453054,9,2,2,2
16117,0.1755591786750672,0.1626296483243344,0.6618111730005984,9,2,2,1
16169,0.167886299272637,0.0,0.832113700727363,9,2,2,2
